state,broad_type,commodity,source_year,feature_count,area_ha
Tas,Animals,chickens meat,2019,2,3.43592000008
Tas,Animals,deer,2018,1,32.0374984741
Tas,Animals,finfish,2016,1,4.57610988617
Tas,Animals,finfish,2017,2,15.86837005612
Tas,Animals,finfish,2018,4,63.06498062615
Tas,Animals,finfish,2019,3,11.88921010494
Tas,Animals,goats dairy,2015,1,2.62567996979
Tas,Animals,goats dairy,2018,1,0.0640328004956
Tas,Animals,horses,2007,1,3.22211003304
Tas,Animals,horses,2008,4,213.71697592771002
Tas,Animals,horses,2009,1,10.1370000839
Tas,Animals,horses,2010,17,266.13624215125003
Tas,Animals,horses,2011,11,326.337676703903
Tas,Animals,horses,2012,37,1122.96367061145
Tas,Animals,horses,2013,2,21.65649938586
Tas,Animals,horses,2014,14,442.44143438329
Tas,Animals,horses,2015,2,5.4792599678
Tas,Animals,horses,2016,4,21.2057697773
Tas,Animals,horses,2017,1,38.5744018555
Tas,Animals,horses,2018,2,31.6319999695
Tas,Animals,horses,2019,2,2.12223005295
Tas,Animals,molluscs,2018,1,4.80139017105
Tas,Animals,pigs,2010,4,83.38479948049
Tas,Animals,pigs,2012,6,59.21041059503
Tas,Animals,pigs,2014,4,69.53376960743
Tas,Animals,pigs,2016,3,3.491419970987
Tas,Animals,pigs,2017,1,0.1513890028
Tas,Animals,pigs,2018,1,1.02617001534
Tas,Animals,pigs,2019,2,14.44427025315
Tas,Animals,sheep,2010,10,843.44218099131
Tas,Animals,sheep,2017,6,176.24694430843002
Tas,Animals,sheep,2018,1,33.4945983887
Tas,Animals,sheep,2019,2,263.8209991458
Tas,Animals,sheep,2020,2,619.1820030211
Tas,Animals,sheep dairy,2015,2,10.735189914700001
Tas,Animals,sheep dairy,2017,1,0.619297027588
Tas,Animals,sheep meat,2018,1,80.0675964355
Tas,Flowers and bulbs,flowers and foliage,2017,2,6.056016787889001
Tas,Flowers and bulbs,lavender,2016,2,31.96995019912
Tas,Flowers and bulbs,lavender,2017,2,21.130090236679997
Tas,Flowers and bulbs,lavender,2018,1,62.4523010254
Tas,Flowers and bulbs,roses,2021,1,1.41665005684
Tas,Flowers and bulbs,tulips,2018,2,74.883600235
Tas,Flowers and bulbs,turf,2012,1,166.639007568
Tas,Fruits,apples,2016,2,6.94261991978
Tas,Fruits,apples,2017,6,54.355041891344
Tas,Fruits,apples,2018,4,37.10784959797
Tas,Fruits,apples,2020,1,1.55450999737
Tas,Fruits,apples,2021,2,7.14461004734
Tas,Fruits,avocados,2023,6,24.93912005424
Tas,Fruits,blueberries,2017,2,3.1646510213659997
Tas,Fruits,blueberries,2018,33,40.5852509923168
Tas,Fruits,blueberries,2019,38,49.5908407820457
Tas,Fruits,blueberries,2020,38,104.42318272970829
Tas,Fruits,blueberries,2021,6,15.913934946053
Tas,Fruits,cherries,2017,1,0.815190970898
Tas,Fruits,cherries,2018,5,74.37358808522
Tas,Fruits,cherries,2019,1,2.97501993179
Tas,Fruits,cherries,2020,10,217.213902950263
Tas,Fruits,cherries,2021,6,164.873217627877
Tas,Fruits,grapes wine,2018,3,2.8280460238460003
Tas,Fruits,grapes wine,2020,86,415.6354725678292
Tas,Fruits,grapes wine,2021,425,2819.744456459641
Tas,Fruits,olives,2021,51,194.308628499483
Tas,Fruits,pears,2020,1,0.543457984924
Tas,Fruits,raspberries,2016,1,13.571100235
Tas,Fruits,raspberries,2018,2,67.211475372334
Tas,Fruits,raspberries,2020,1,7.34856987
Tas,Fruits,raspberries,2021,2,72.65974307062
Tas,Fruits,strawberries,2021,2,28.63720083232
Tas,Mines,bauxite,2020,1,13.2566995621
Tas,Mines,tungsten,2018,1,23.0137004852
Tas,Nuts,almonds,2020,1,3.8089299202
Tas,Nuts,hazelnuts,2016,2,2.7071599960299997
Tas,Nuts,walnuts,2007,1,9.47556018829
Tas,Nuts,walnuts,2015,1,3.19579005241
Tas,Nuts,walnuts,2019,1,27.1746006012
Tas,Nuts,walnuts,2020,6,506.84441637937
Tas,Other crops,azuki bean,2018,1,46.4025993347
Tas,Other crops,hops,2020,2,28.01694941524
Tas,Other crops,pyrethrum,2013,137,1291.54441750054
Tas,Other crops,pyrethrum,2018,3,33.438710212749996
Tas,Pasture,lucerne,2022,1,3.69072008133
Tas,Vegetables and herbs,capsicums,2021,1,5.43584012985
Tas,Vegetables and herbs,carrots,2010,3,18.203289985669997
Tas,Vegetables and herbs,garlic,2017,1,4.02533006668
Tas,Vegetables and herbs,garlic,2018,1,0.771336972713
Tas,Vegetables and herbs,herbs,2017,2,0.809833019972
Tas,Vegetables and herbs,herbs,2018,1,1.98651003838
Tas,Vegetables and herbs,potatoes,2009,2,15.68311977384
Tas,Vegetables and herbs,potatoes,2011,2,18.81815004351
Tas,Vegetables and herbs,potatoes,2017,1,4.79146003723
Tas,Vegetables and herbs,potatoes,2018,4,11.596239179369
Tas,Vegetables and herbs,swedes,2018,1,25.0323009491
Tas,Vegetables and herbs,tomatoes,2020,1,2.18998003006
Tas,Vegetables and herbs,truffles,2020,1,0.90831297636
Tas,Vegetables and herbs,truffles,2021,17,90.386050283877
Tas,Vegetables and herbs,truffles,2022,3,9.301149725910001
Tas,Vegetables and herbs,vegetable seeds,2017,1,3.92214989662
