Year,SA2_Name,Mean_Rainfall
2018,Junee,33.38637856148959
2018,Orange Region,33.38637856148959
2018,Cowra Region,33.38637856148959
2018,Temora,33.38637856148959
2018,Grafton Region,33.38637856148959
2018,Yass Region,33.38637856148959
2018,Young Region,33.38637856148959
2018,Wagga Wagga Region,33.38637856148959
2018,Griffith Region,33.38637856148959
2018,Deniliquin Region,33.38637856148959
2018,Coonamble,33.38637856148959
2018,Nyngan - Warren,33.38637856148959
2018,Walgett - Lightning Ridge,33.38637856148959
2018,Coonabarabran,33.38637856148959
2018,Bathurst Region,33.38637856148959
2018,Gilgandra,33.38637856148959
2018,Dubbo Region,33.38637856148959
2018,Narromine,33.38637856148959
2018,Gunnedah Region,33.38637856148959
2018,Albury Region,33.38637856148959
2018,Tamworth Region,33.38637856148959
2018,Wellington,33.38637856148959
2018,Narrabri Region,33.38637856148959
2018,Moree Region,33.38637856148959
2018,Hay,33.38637856148959
2018,Wentworth-Balranald Region,33.38637856148959
2018,Pittsworth,33.38637856148959
2018,Wambo,33.38637856148959
2018,Roma Region,33.38637856148959
2018,Charleville,33.38637856148959
2018,Clifton - Greenmount,33.38637856148959
2018,Southern Downs - East,33.38637856148959
2018,Southern Downs - West,33.38637856148959
2018,Cambooya - Wyreema,33.38637856148959
2018,Central Highlands - East,33.38637856148959
2018,Central Highlands - West,33.38637856148959
2018,Banana,33.38637856148959
2018,Biloela,33.38637856148959
2018,Monto - Eidsvold,33.38637856148959
2018,Lockyer Valley - East,33.38637856148959
2018,Broadsound - Nebo,33.38637856148959
2018,Clermont,33.38637856148959
2018,Balonne,33.38637856148959
2018,Chinchilla,33.38637856148959
2018,Goondiwindi,33.38637856148959
2018,Inglewood - Waggamba,33.38637856148959
2018,Miles - Wandoan,33.38637856148959
2018,Tara,33.38637856148959
2018,Crows Nest - Rosalie,33.38637856148959
2018,Kingaroy Region - North,33.38637856148959
2018,Jondaryan,33.38637856148959
2018,Millmerran,33.38637856148959
2018,Port Pirie Region,33.38637856148959
2018,Barossa - Angaston,33.38637856148959
2018,Light,33.38637856148959
2018,Mallala,33.38637856148959
2018,Gawler - North,33.38637856148959
2018,Clare,33.38637856148959
2018,Lewiston - Two Wells,33.38637856148959
2018,Nhill Region,33.38637856148959
2018,Gilbert Valley,33.38637856148959
2018,Goyder,33.38637856148959
2018,Wakefield - Barunga West,33.38637856148959
2018,Jamestown,33.38637856148959
2018,Peterborough - Mount Remarkable,33.38637856148959
2018,Kadina,33.38637856148959
2018,Moonta,33.38637856148959
2018,Wallaroo,33.38637856148959
2018,Yorke Peninsula - North,33.38637856148959
2018,Yorke Peninsula - South,33.38637856148959
2018,Ceduna,33.38637856148959
2018,Eyre Peninsula,33.38637856148959
2018,Kimba - Cleve - Franklin Harbour,33.38637856148959
2018,Le Hunte - Elliston,33.38637856148959
2018,Port Lincoln,33.38637856148959
2018,West Coast (SA),33.38637856148959
2018,Quorn - Lake Gilles,33.38637856148959
2018,Kangaroo Island,33.38637856148959
2018,Millicent,33.38637856148959
2018,Penola,33.38637856148959
2018,Tatiara,33.38637856148959
2018,Wattle Range,33.38637856148959
2018,Mildura Region,33.38637856148959
2018,Barmera,33.38637856148959
2018,Karoonda - Lameroo,33.38637856148959
2018,Mannum,33.38637856148959
2018,Naracoorte Region,33.38637856148959
2018,Loxton Region,33.38637856148959
2018,The Coorong,33.38637856148959
2018,Renmark Region,33.38637856148959
2018,Murray Bridge Region,33.38637856148959
2018,Strathalbyn Region,33.38637856148959
2018,Waikerie,33.38637856148959
2019,Northampton - Mullewa - Greenough,22.392566371001255
2019,Geraldton,22.392566371001255
2019,Bridgetown - Boyup Brook,22.392566371001255
2019,Gnowangerup,22.392566371001255
2019,Katanning,22.392566371001255
2019,Kojonup,22.392566371001255
2019,Plantagenet,22.392566371001255
2019,Chittering,22.392566371001255
2019,Cunderdin,22.392566371001255
2019,Dowerin,22.392566371001255
2019,Gingin - Dandaragan,22.392566371001255
2019,Merredin,22.392566371001255
2019,Moora,22.392566371001255
2019,Mukinbudin,22.392566371001255
2019,Northam,22.392566371001255
2019,Toodyay,22.392566371001255
2019,York - Beverley,22.392566371001255
2019,Brookton,22.392566371001255
2019,Kulin,22.392566371001255
2019,Murray,22.392566371001255
2019,Narrogin,22.392566371001255
2019,Wagin,22.392566371001255
2019,Irwin,22.392566371001255
2019,Morawa,22.392566371001255
2019,Esperance Region,22.392566371001255
2019,Albany Region,22.392566371001255
2019,Naracoorte Region,22.392566371001255
2019,Alfredton,22.392566371001255
2019,Smythes Creek,22.392566371001255
2019,Wendouree - Miners Rest,22.392566371001255
2019,Bacchus Marsh Region,22.392566371001255
2019,Creswick - Clunes,22.392566371001255
2019,Gordon (Vic.),22.392566371001255
2019,Avoca,22.392566371001255
2019,Beaufort,22.392566371001255
2019,Golden Plains - North,22.392566371001255
2019,Maryborough Region,22.392566371001255
2019,Loddon,22.392566371001255
2019,Golden Plains - South,22.392566371001255
2019,Winchelsea,22.392566371001255
2019,Euroa,22.392566371001255
2019,Nagambie,22.392566371001255
2019,Rutherglen,22.392566371001255
2019,Nhill Region,22.392566371001255
2019,St Arnaud,22.392566371001255
2019,Stawell,22.392566371001255
2019,West Wimmera,22.392566371001255
