SA2_CODE21,SA2_NAME21,STE_CODE21,SD_CODE11,SD_NAME11,SD_STATE_CODE,allocation_ratio,is_split_sa2,n_sd_overlaps
509011227,Bayonet Head - Lower King,5,515,Lower Great Southern,5,1.0,False,1
509011228,Denmark,5,510,South West,5,0.00016296135439904027,True,2
509011228,Denmark,5,515,Lower Great Southern,5,0.9998370386456009,True,2
509011229,Gnowangerup,5,515,Lower Great Southern,5,0.9997848054770989,True,3
509011229,Gnowangerup,5,520,Upper Great Southern,5,0.0001615651349699246,True,3
509011229,Gnowangerup,5,530,South Eastern,5,5.362938793120189e-05,True,3
509011230,Katanning,5,515,Lower Great Southern,5,0.9998658471551558,True,2
509011230,Katanning,5,520,Upper Great Southern,5,0.00013415284484418673,True,2
509011231,Kojonup,5,510,South West,5,0.00010788558676855361,True,3
509011231,Kojonup,5,515,Lower Great Southern,5,0.9998687902524511,True,3
509011231,Kojonup,5,520,Upper Great Southern,5,2.3324160780348317e-05,True,3
509011232,Little Grove - Elleker,5,515,Lower Great Southern,5,1.0,False,1
509011233,McKail - Willyung,5,515,Lower Great Southern,5,1.0,False,1
509011234,Plantagenet,5,515,Lower Great Southern,5,1.0,False,1
509011235,Stirling Range National Park,5,515,Lower Great Southern,5,1.0,False,1
509021236,Chittering,5,505,Perth,5,1.1308449738879837e-08,True,2
509021236,Chittering,5,525,Midlands,5,0.9999999886915504,True,2
509021237,Cunderdin,5,525,Midlands,5,1.0,False,1
509021238,Dowerin,5,525,Midlands,5,1.0,False,1
509021239,Gingin - Dandaragan,5,525,Midlands,5,1.0,False,1
509021240,Merredin,5,520,Upper Great Southern,5,0.000353293225624061,True,2
509021240,Merredin,5,525,Midlands,5,0.999646706774376,True,2
509021241,Moora,5,525,Midlands,5,0.9999979880581571,True,2
509021241,Moora,5,535,Central,5,2.0119418429972882e-06,True,2
509021242,Mukinbudin,5,520,Upper Great Southern,5,9.043293686125633e-05,True,4
509021242,Mukinbudin,5,525,Midlands,5,0.9987661228137631,True,4
509021242,Mukinbudin,5,530,South Eastern,5,0.0009497259152644921,True,4
509021242,Mukinbudin,5,535,Central,5,0.00019371833411116718,True,4
509021243,Northam,5,525,Midlands,5,1.0,False,1
509021244,Toodyay,5,525,Midlands,5,1.0,False,1
509021245,York - Beverley,5,525,Midlands,5,1.0,False,1
509031246,Brookton,5,505,Perth,5,0.00035014781772445546,True,4
509031246,Brookton,5,510,South West,5,0.00021889805951664582,True,4
509031246,Brookton,5,520,Upper Great Southern,5,0.999421212475691,True,4
509031246,Brookton,5,525,Midlands,5,9.741647067911438e-06,True,4
509031247,Kulin,5,515,Lower Great Southern,5,0.00024745845728209667,True,4
509031247,Kulin,5,520,Upper Great Southern,5,0.9987139265530267,True,4
509031247,Kulin,5,525,Midlands,5,0.0009583713694469002,True,4
509031247,Kulin,5,530,South Eastern,5,8.024362024426766e-05,True,4
509031248,Murray,5,510,South West,5,0.9999730700910328,True,2
509031248,Murray,5,520,Upper Great Southern,5,2.692990896718419e-05,True,2
509031249,Narrogin,5,520,Upper Great Southern,5,1.0,False,1
509031250,Wagin,5,510,South West,5,0.00010503229801813047,True,3
509031250,Wagin,5,515,Lower Great Southern,5,4.345982966337828e-05,True,3
509031250,Wagin,5,520,Upper Great Southern,5,0.9998515078723184,True,3
510011262,Broome,5,545,Kimberley,5,1.0,False,1
510011263,Derby - West Kimberley,5,545,Kimberley,5,1.0,False,1
510011264,Halls Creek,5,540,Pilbara,5,3.3239237325529304e-08,True,2
510011264,Halls Creek,5,545,Kimberley,5,0.9999999667607626,True,2
510011265,Kununurra,5,545,Kimberley,5,0.9999930163660262,True,2
510011265,Kununurra,5,710,Northern Territory - Bal,7,6.98363397372562e-06,True,2
510011266,Roebuck,5,540,Pilbara,5,0.0026860758163327904,True,2
510011266,Roebuck,5,545,Kimberley,5,0.9973139241836672,True,2
510021267,East Pilbara,5,530,South Eastern,5,0.001447884564485581,True,3
510021267,East Pilbara,5,540,Pilbara,5,0.9972652583570487,True,3
510021267,East Pilbara,5,545,Kimberley,5,0.00128685707846569,True,3
510021268,Newman,5,540,Pilbara,5,1.0,False,1
510021269,Port Hedland,5,540,Pilbara,5,1.0,False,1
510021270,South Hedland,5,540,Pilbara,5,1.0,False,1
510031271,Ashburton (WA),5,535,Central,5,0.0006359387489375427,True,2
510031271,Ashburton (WA),5,540,Pilbara,5,0.9993640612510625,True,2
510031272,Karratha,5,540,Pilbara,5,1.0,False,1
510031273,Roebourne,5,540,Pilbara,5,1.0,False,1
511011274,Esperance,5,530,South Eastern,5,1.0,False,1
511011275,Esperance Surrounds,5,515,Lower Great Southern,5,0.01855222069871371,True,3
511011275,Esperance Surrounds,5,520,Upper Great Southern,5,8.616428965651391e-05,True,3
511011275,Esperance Surrounds,5,530,South Eastern,5,0.9813616150116298,True,3
511021276,Carnarvon,5,535,Central,5,1.0,False,1
511021277,Exmouth,5,535,Central,5,0.9997025701371203,True,2
511021277,Exmouth,5,540,Pilbara,5,0.0002974298628797089,True,2
511031278,Boulder,5,530,South Eastern,5,1.0,False,1
511031279,Kalgoorlie,5,530,South Eastern,5,1.0,False,1
